episode,reward,eval_mean,eval_std,loss
379,-3.3738875,nan,nan,
184,-3.098749999999996,nan,nan,
380,-3.6326499999999973,nan,nan,
185,-4.953925,nan,nan,
381,-3.5625875000000025,nan,nan,
186,-4.320624999999997,nan,nan,
382,-2.755924999999999,nan,nan,
187,-5.066800000000003,nan,nan,
383,-1.9203375000000011,nan,nan,
188,-4.012012500000001,nan,nan,
384,-3.4505125000000056,nan,nan,
189,-3.4808124999999976,nan,nan,
385,-4.2666375,nan,nan,
190,-6.749587499999996,nan,nan,
386,-3.8440625000000037,nan,nan,
191,-5.031049999999995,nan,nan,
387,-3.6237875000000024,nan,nan,
192,-5.7492375000000076,nan,nan,
388,-3.863937500000002,nan,nan,
193,-4.119437500000002,nan,nan,
389,-3.934312499999999,nan,nan,
194,-3.662074999999999,nan,nan,
390,-4.498887500000001,nan,nan,
195,-5.141924999999998,nan,nan,
391,-3.3047000000000004,nan,nan,
196,-4.382625000000003,nan,nan,
392,-3.6860000000000017,nan,nan,
197,-4.6887625,nan,nan,
393,-4.910124999999996,nan,nan,
198,-4.3283125000000044,nan,nan,
394,-5.0123625000000045,nan,nan,
199,-4.941500000000002,nan,nan,
395,-3.2195874999999994,nan,nan,
200,-4.195962499999999,-3.121732500000003,0.7534060355561936,
396,-4.289462499999998,nan,nan,
201,-5.133525000000001,nan,nan,
397,-4.1881375000000025,nan,nan,
202,-6.365137500000001,nan,nan,
398,-3.5496624999999997,nan,nan,
203,-6.784850000000003,nan,nan,
399,-4.224512500000002,nan,nan,
204,-4.151424999999998,nan,nan,
400,-2.765824999999996,-2.7270999999999956,0.5548272847247129,
205,-4.867074999999999,nan,nan,
401,-3.531287499999998,nan,nan,
206,-3.5153000000000025,nan,nan,
402,-2.8161875,nan,nan,
207,-2.473112500000001,nan,nan,
403,-2.9600499999999994,nan,nan,
208,-5.630987499999998,nan,nan,
404,-4.002087500000001,nan,nan,
209,-5.270674999999997,nan,nan,
405,-3.7688749999999978,nan,nan,
210,-2.8311249999999943,nan,nan,
406,-3.580675000000003,nan,nan,
211,-5.515187499999996,nan,nan,
407,-2.4494749999999996,nan,nan,
212,-5.203487499999999,nan,nan,
408,-4.617324999999999,nan,nan,
213,-5.921962499999998,nan,nan,
409,-4.731750000000001,nan,nan,
214,-6.1325875,nan,nan,
410,-3.6025499999999866,nan,nan,
411,-4.018225,nan,nan,
215,-3.0027000000000004,nan,nan,
412,-3.422337499999998,nan,nan,
216,-3.6703999999999923,nan,nan,
413,-2.5431874999999913,nan,nan,
217,-3.4616374999999913,nan,nan,
414,-2.7193375000000035,nan,nan,
218,-4.1883375,nan,nan,
415,-4.5250249999999985,nan,nan,
219,-4.802137500000004,nan,nan,
416,-3.3089749999999967,nan,nan,
220,-4.378525000000002,nan,nan,
417,-4.219149999999999,nan,nan,
221,-4.351825000000002,nan,nan,
418,-3.302500000000002,nan,nan,
222,-4.474687500000002,nan,nan,
419,-2.763974999999994,nan,nan,
223,-7.475774999999999,nan,nan,
420,-4.270912500000006,nan,nan,
224,-3.2273875000000056,nan,nan,
421,-2.774637499999993,nan,nan,
225,-3.2407749999999993,nan,nan,
422,-3.26195,nan,nan,
226,-7.307175000000004,nan,nan,
423,-3.683862499999997,nan,nan,
227,-4.321362499999997,nan,nan,
424,-4.804587500000005,nan,nan,
228,-3.0114375000000004,nan,nan,
425,-3.0103124999999995,nan,nan,
229,-4.476737500000003,nan,nan,
426,-6.0528,nan,nan,
230,-3.477875000000001,nan,nan,
427,-3.590575000000001,nan,nan,
231,-5.095824999999996,nan,nan,
428,-4.050537499999998,nan,nan,
232,-4.534725000000003,nan,nan,
429,-4.253312500000002,nan,nan,
233,-3.5748125000000024,nan,nan,
430,-2.792475000000001,nan,nan,
234,-4.765112499999999,nan,nan,
431,-4.915112499999993,nan,nan,
235,-4.538237499999998,nan,nan,
432,-5.342425000000003,nan,nan,
236,-6.389962499999999,nan,nan,
433,-3.520575,nan,nan,
237,-4.572675000000002,nan,nan,
434,-4.613412500000004,nan,nan,
238,-4.406750000000003,nan,nan,
435,-4.841599999999996,nan,nan,
239,-5.426537500000003,nan,nan,
436,-1.6684749999999988,nan,nan,
240,-4.696712500000004,nan,nan,
437,-2.9118500000000025,nan,nan,
241,-6.02155,nan,nan,
438,-4.551749999999999,nan,nan,
242,-4.530525,nan,nan,
439,-4.893162500000003,nan,nan,
243,-4.797425000000007,nan,nan,
440,-3.5400500000000004,nan,nan,
441,-2.899074999999998,nan,nan,
244,-5.552237500000006,nan,nan,
442,-4.4402375,nan,nan,
443,-3.517512499999991,nan,nan,
444,-5.002737500000005,nan,nan,
245,-3.8013499999999976,nan,nan,
445,-4.6307624999999994,nan,nan,
446,-3.263137500000003,nan,nan,
447,-4.498675000000009,nan,nan,
246,-2.9440500000000007,nan,nan,
448,-2.8067124999999966,nan,nan,
449,-3.662087499999998,nan,nan,
450,-3.6458374999999985,nan,nan,
247,-2.1406625000000004,nan,nan,
451,-4.1243000000000025,nan,nan,
452,-3.1662499999999985,nan,nan,
248,-5.1066,nan,nan,
453,-4.287975000000001,nan,nan,
454,-3.2904874999999985,nan,nan,
455,-4.219337499999998,nan,nan,
249,-3.231537500000001,nan,nan,
456,-2.959549999999999,nan,nan,
457,-3.665962499999994,nan,nan,
458,-4.588762499999998,nan,nan,
250,-3.10155,nan,nan,
459,-3.0386749999999974,nan,nan,
460,-5.189574999999999,nan,nan,
251,-5.064662499999998,nan,nan,
461,-3.6989250000000005,nan,nan,
462,-4.002762499999999,nan,nan,
463,-4.384287499999998,nan,nan,
252,-4.770812499999994,nan,nan,
464,-4.248775,nan,nan,
465,-5.076175000000001,nan,nan,
253,-3.4056999999999937,nan,nan,
466,-5.227775000000001,nan,nan,
467,-3.7140999999999975,nan,nan,
468,-3.546025000000001,nan,nan,
254,-5.781499999999996,nan,nan,
469,-5.451637500000002,nan,nan,
470,-5.5251125,nan,nan,
471,-4.367875000000001,nan,nan,
472,-2.5018000000000007,nan,nan,
255,-4.875237499999997,nan,nan,
473,-2.844662499999999,nan,nan,
474,-3.471662499999997,nan,nan,
256,-2.73385,nan,nan,
475,-2.755662499999999,nan,nan,
476,-6.095287500000005,nan,nan,
477,-4.584874999999997,nan,nan,
257,-5.274600000000007,nan,nan,
478,-3.8905500000000033,nan,nan,
479,-2.4668625,nan,nan,
258,-4.6950499999999975,nan,nan,
480,-2.386825000000002,nan,nan,
481,-2.6487249999999998,nan,nan,
482,-4.579725000000002,nan,nan,
259,-3.240025000000001,nan,nan,
483,-3.801999999999997,nan,nan,
484,-2.4907624999999993,nan,nan,
